name,dependency_type,purpose,invocation,preflight_check,required_for_current_analysis,observed_local_version,observed_local_date,installation_source,publication_required_version,verification_status,notes
missings,command,Missingness summaries,missings table,which missings,true,1.4.0,2023-01-27,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
table1_mc,command,Descriptive table export,table1_mc,which table1_mc,true,3.3,2022-05-05,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
heatplot,command,Agreement heatmaps,heatplot,which heatplot,true,1.1.1,2021-08-24,UNRESOLVED,UNRESOLVED,local_observation_only,Installed code also requires palettes and colrspace.
kappaetc,command,Kappa and agreement statistics,kappaetc,which kappaetc,true,2.1.0,2022-08-11,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
diagt,command,Diagnostic test characteristics,diagt,which diagt,true,2.0.5,2003-06-30,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
mkspline2,command,Restricted cubic spline basis generation,mkspline2,which mkspline2,true,1.0.0,2009-04-04,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
xblc,command,Spline prediction contrasts and intervals,xblc,which xblc,true,1.0.1,2011-07-12,UNRESOLVED,UNRESOLVED,local_observation_only,Version observed from the installed ado header; not established as the publication environment.
colorpalette,command,Palette support used by heatplot,colorpalette,which colorpalette,true,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,local_observation_only,Required transitively by the current graphics workflow.
cleanplots,scheme,Graph styling,set scheme cleanplots,findfile scheme-cleanplots.scheme,true,UNRESOLVED,2018-10-05,UNRESOLVED,UNRESOLVED,local_observation_only,Only a local help-file date was available; package version and publication environment remain unresolved.
colrspace,mata_library,Color-space support used by heatplot and palettes,transitive,findfile lcolrspace.mlib,true,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,local_observation_only,Required transitively by the current graphics workflow.
moremata,mata_library,Mata utilities used by graphics dependencies,transitive,findfile lmoremata.mlib,true,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,local_observation_only,Required transitively by the current graphics workflow.
gtools,optional_command,Optional acceleration for table1_mc internals,gcollapse,which gcollapse,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,local_observation_only,Absent is allowed because the current workflow has a non-gtools path.
